13,12,12,12,12,12,12
14,12,12,12,12,12,12
15,12,12,12,12,12,12
15,13,13,13,13,12,12
15,14,14,14,14,12,12
15,15,15,15,15,12,12
16,16,16,16,16,12,12
17,17,17,17,17,12,12
18,18,18,18,18,12,12
19,19,19,19,19,13,13
19,19,19,19,19,14,14
19,19,19,19,19,15,15
19,19,19,19,19,15,15
19,19,19,19,19,15,15
19,19,19,19,19,15,15
19,19,19,19,19,15,15
19,19,19,19,19,15,15
19,19,19,19,19,15,15
19,19,19,19,19,15,15
16,16,16,16,16,14,14
16,16,16,16,16,13,13
16,16,16,16,16,12,12
15,15,15,15,15,12,12
14,14,14,14,14,12,12
